aggregator_address,proxy_address,base_symbol,quote_symbol,decimals
0x5fb8bfaebe2dd6db2af308d293ea25e607d3a922,0x0568fd19986748ceff3301e55c0eb1e729e0ab7e,CELO,USD,8
0xed9183ddb0718c80488bdebdda15b14d3166053c,0x5e37af40a7a344ec9b03ccd34a250f3da9a20b02,USDT,USD,8
0xa82b382154bf1e2819b8156326016537cdff9be6,0xc7a353bae210aed958a1a2928b654938ec59dab2,USDC,USD,8
0x2e5edde44187c3099529ef63ced87994f078fbdb,0xe38a27be4e7d866327e09736f3c570f256ffd048,USDm,USD,8
