address,decimals,symbol,date_start,date_end,token_class
0x48065fbbe25f71c9282ddf5e1cd6d6a887483d5e,6,USDT,2025-03-26,,STABLECOIN
0xceba9300f2b948710d2653dd7b07f33a8b32118c,6,USDC,2025-03-26,,STABLECOIN
0x765de816845861e75a25fca122bb6898b8b1282a,18,USDm,2025-03-26,,STABLECOIN
0xaf37e8b6c9ed7f6318979f56fc287d76c30847ff,6,XAUt0,2026-06-23,,RWA
