canonical_label,legacy_symbol,vault_address,backing_asset,yield_source,start_ts_utc,end_ts_utc,source_safe_tx_hash,source_block_number,notes
Savings xDAI,sDAI,0xaf204776c7245bF4147c2612BF6e5972Ee483701,DAI,sDAI,2023-09-28T00:00:00Z,2025-11-07T18:07:25Z,0xb6d709f3f6fe73958bf4de18a2d8ba81b8981a18e0c17c9f608e61c03ec0e166,43027713,Pre-upgrade bridge regime (DAI via relayInterest)
Savings xDAI,sDAI,0xaf204776c7245bF4147c2612BF6e5972Ee483701,USDS,sUSDS,2025-11-07T18:07:25Z,,0xb6d709f3f6fe73958bf4de18a2d8ba81b8981a18e0c17c9f608e61c03ec0e166,43027713,Post-upgrade bridge regime (USDS via sUSDS)
